climate_variable,avg_sig_corr,max_sig_corr,sig_corr_count,sig_corr_ratio(%)
climate_risk_excess_precip_max_90d_above_1_std_lag_14d,0.534,0.581,15,0.668
climate_risk_excess_precip_max_120d_above_1_std_lag_14d,0.534,0.59,27,1.203
climate_risk_drought_max_7d_above_1_std_lag_14d,0.534,0.566,13,0.579
climate_risk_drought_max_90d_above_1_std_lag_14d,0.534,0.564,7,0.312
climate_risk_excess_precip_weighted_score_country_sum_tangent_lag_14d,0.533,0.617,9,0.401
climate_risk_drought_score_country_std_sin_lag_14d,0.533,0.556,3,0.134
climate_risk_excess_precip_ma_30d_above_1_std_lag_14d,0.533,0.563,11,0.49
climate_risk_unseasonably_cold_score_country_std_log1p_lag_14d,0.533,0.59,6,0.372
climate_risk_unseasonably_cold_weighted_score_country_sum_log1p_lag_14d,0.532,0.558,4,0.248
climate_risk_unseasonably_cold_weighted_score_country_sum_tangent_lag_14d,0.531,0.558,4,0.248
climate_risk_unseasonably_cold_weighted_score_country_sum_sin_lag_14d,0.531,0.558,4,0.248
climate_risk_unseasonably_cold_weighted_score_country_sum_ssqrt_lag_14d,0.531,0.548,3,0.186
climate_risk_heat_stress_weighted_score_country_sum_tangent_lag_14d,0.531,0.531,1,0.068
climate_risk_excess_precip_score_country_mean_tangent_lag_14d,0.53,0.574,9,0.401
climate_risk_unseasonably_cold_max_120d_above_1_std_lag_14d,0.53,0.554,4,0.216
climate_risk_drought_max_60d_above_1_std_lag_14d,0.529,0.59,13,0.579
climate_risk_drought_score_country_max_thresh_mag_lag_14d,0.528,0.546,13,0.584
climate_risk_excess_precip_score_country_mean_log1p_lag_14d,0.527,0.578,11,0.49
climate_risk_excess_precip_weighted_score_country_sum_sin_lag_14d,0.527,0.581,9,0.401
climate_risk_excess_precip_weighted_score_country_sum_log1p_lag_14d,0.526,0.576,8,0.357
climate_risk_excess_precip_score_country_mean_sin_lag_14d,0.526,0.573,11,0.49
climate_risk_unseasonably_cold_max_60d_above_1_std_lag_14d,0.526,0.543,4,0.235
climate_risk_heat_stress_weighted_score_country_sum_cos_lag_14d,0.525,0.538,2,0.135
climate_risk_unseasonably_cold_max_90d_above_1_std_lag_14d,0.523,0.542,3,0.168
climate_risk_drought_score_country_mean_thresh_mag_lag_14d,0.521,0.521,1,0.063
climate_risk_heat_stress_score_country_max_cos_lag_14d,0.521,0.536,2,0.135
climate_risk_drought_max_120d_above_1_std_lag_14d,0.52,0.564,12,0.535
climate_risk_unseasonably_cold_max_30d_above_1_std_lag_14d,0.52,0.535,3,0.194
climate_risk_coldwave_score_country_mean_ssqrt_lag_14d,0.519,0.519,1,0.059
climate_risk_drought_score_country_std_tangent_lag_14d,0.519,0.531,3,0.134
climate_risk_coldwave_score_country_max_ssqrt_lag_14d,0.518,0.518,1,0.059
climate_risk_coldwave_score_country_std_ssqrt_lag_14d,0.517,0.517,1,0.059
climate_risk_excess_precip_score_country_max_cos_lag_14d,0.516,0.534,3,0.134
climate_risk_drought_weighted_score_country_sum_thresh_mag_lag_14d,0.507,0.51,2,0.173
climate_risk_unseasonably_cold_ma_60d_above_1_std_lag_14d,0.503,0.503,1,0.103
climate_risk_coldwave_score_country_max_log1p_lag_14d,0.502,0.502,1,0.059
climate_risk_excess_precip_max_14d_above_1_std_lag_14d,0.502,0.502,1,0.045
climate_risk_heat_stress_max_30d_above_1_std_lag_14d,0.502,0.502,1,0.069
climate_risk_coldwave_weighted_score_country_sum_ssqrt_lag_14d,0.501,0.501,1,0.059
climate_risk_drought_score_country_max_tangent_lag_14d,0.501,0.501,1,0.045
climate_risk_heat_stress_max_120d_above_1_std_lag_14d,0.5,0.5,1,0.058
climate_risk_coldwave_max_14d_cos_above_1_std,0.687,0.699,2,0.11
climate_risk_coldwave_ma_14d_cos_above_1_std,0.654,0.663,2,0.11
climate_risk_coldwave_max_14d_thresh_mag_above_1_std,0.619,0.757,6,0.447
climate_risk_drought_max_7d_sin_above_1_std,0.618,0.618,1,0.045
climate_risk_drought_max_7d_log1p_above_1_std,0.609,0.609,1,0.045
climate_risk_coldwave_max_14d_log1p_above_1_std,0.608,0.647,3,0.196
climate_risk_drought_ma_7d_ssqrt_above_1_std,0.608,0.608,1,0.045
climate_risk_coldwave_max_14d_sin_above_1_std,0.607,0.645,3,0.196
climate_risk_drought_max_14d_cos_above_1_std,0.576,0.652,18,0.802
climate_risk_coldwave_max_14d_ssqrt_above_1_std,0.575,0.615,3,0.19
climate_risk_unseasonably_cold_max_30d_sin_above_1_std,0.575,0.575,1,0.065
climate_risk_drought_max_7d_ssqrt_above_1_std,0.575,0.575,1,0.045
climate_risk_excess_precip_max_14d_ssqrt_above_1_std,0.571,0.603,2,0.089
climate_risk_excess_precip_max_7d_ssqrt_above_1_std,0.57,0.57,1,0.045
climate_risk_drought_max_14d_sin_above_1_std,0.568,0.753,7,0.312
climate_risk_excess_precip_ma_7d_ssqrt_above_1_std,0.561,0.561,1,0.045
climate_risk_drought_ma_14d_sin_above_1_std,0.56,0.626,26,1.159
climate_risk_drought_ma_14d_log1p_above_1_std,0.555,0.64,28,1.248
climate_risk_drought_ma_14d_cos_above_1_std,0.554,0.652,23,1.025
climate_risk_drought_ma_14d_ssqrt_above_1_std,0.554,0.687,22,0.98
climate_risk_drought_ma_7d_sin_above_1_std,0.552,0.593,2,0.089
climate_risk_excess_precip_ma_14d_ssqrt_above_1_std,0.551,0.604,3,0.134
climate_risk_excess_precip_ma_30d_log1p_above_1_std,0.544,0.592,15,0.668
climate_risk_unseasonably_cold_max_30d_ssqrt_above_1_std,0.542,0.562,2,0.129
climate_risk_drought_max_14d_log1p_above_1_std,0.541,0.74,16,0.713
climate_risk_excess_precip_max_14d_log1p_above_1_std,0.541,0.555,6,0.267
climate_risk_drought_max_14d_ssqrt_above_1_std,0.539,0.677,19,0.847
climate_risk_excess_precip_max_14d_cos_above_1_std,0.539,0.539,1,0.045
climate_risk_excess_precip_ma_30d_ssqrt_above_1_std,0.538,0.58,30,1.337
climate_risk_excess_precip_ma_30d_sin_above_1_std,0.537,0.567,13,0.579
climate_risk_drought_ma_7d_log1p_above_1_std,0.533,0.595,3,0.134
climate_risk_excess_precip_ma_30d_cos_above_1_std,0.532,0.548,7,0.312
climate_risk_drought_max_7d_cos_above_1_std,0.53,0.544,6,0.267
climate_risk_heat_stress_ma_30d_ssqrt_above_1_std,0.53,0.53,1,0.076
climate_risk_excess_precip_max_14d_sin_above_1_std,0.528,0.537,6,0.267
climate_risk_unseasonably_cold_max_30d_thresh_mag_above_1_std,0.527,0.527,1,0.071
climate_risk_drought_max_14d_thresh_mag_above_1_std,0.527,0.558,11,0.494
climate_risk_drought_ma_14d_thresh_mag_above_1_std,0.525,0.529,2,0.094
climate_risk_coldwave_ma_14d_ssqrt_above_1_std,0.522,0.526,2,0.135
climate_risk_unseasonably_cold_max_30d_log1p_above_1_std,0.522,0.541,3,0.203
climate_risk_coldwave_max_7d_thresh_mag_above_1_std,0.52,0.521,2,0.151
climate_risk_unseasonably_cold_max_14d_sin_above_1_std,0.518,0.518,1,0.068
climate_risk_drought_ma_7d_cos_above_1_std,0.515,0.523,5,0.223
climate_risk_unseasonably_cold_max_30d_cos_above_1_std,0.515,0.515,1,0.058
climate_risk_excess_precip_ma_14d_log1p_above_1_std,0.514,0.523,8,0.357
climate_risk_unseasonably_cold_max_14d_ssqrt_above_1_std,0.513,0.513,1,0.066
climate_risk_heat_stress_ma_14d_ssqrt_above_1_std,0.512,0.512,1,0.075
climate_risk_excess_precip_ma_14d_sin_above_1_std,0.507,0.512,8,0.357
climate_risk_drought_score_ssqrt_above_1_std,0.506,0.506,1,0.045
climate_risk_heat_stress_max_14d_sin_above_1_std,0.505,0.505,1,0.074
climate_risk_coldwave_ma_14d_cos_above_3_std_lag_30d,0.672,0.672,1,0.054
climate_risk_drought_ma_90d_thresh_mag_above_3_std_lag_30d,0.624,0.813,14,1.113
climate_risk_drought_ma_90d_cos_above_3_std_lag_30d,0.611,0.796,58,2.585
climate_risk_drought_ma_60d_cos_above_3_std_lag_30d,0.608,0.811,57,2.54
climate_risk_heat_stress_ma_30d_cos_above_3_std_lag_30d,0.607,0.641,3,0.18
climate_risk_drought_ma_90d_ssqrt_above_3_std_lag_30d,0.59,0.713,35,1.572
climate_risk_heat_stress_ma_60d_cos_above_3_std_lag_30d,0.589,0.709,8,0.452
climate_risk_drought_ma_90d_log1p_above_3_std_lag_30d,0.588,0.707,16,0.765
climate_risk_heat_stress_ma_60d_ssqrt_above_3_std_lag_30d,0.588,0.656,5,0.588
climate_risk_heat_stress_ma_60d_log1p_above_3_std_lag_30d,0.586,0.704,8,1.307
climate_risk_drought_ma_60d_ssqrt_above_3_std_lag_30d,0.586,0.73,38,1.719
climate_risk_heat_stress_ma_60d_sin_above_3_std_lag_30d,0.585,0.704,8,1.272
climate_risk_drought_max_30d_sin_above_3_std_lag_30d,0.583,0.648,9,0.404
climate_risk_drought_max_30d_ssqrt_above_3_std_lag_30d,0.582,0.656,11,0.494
climate_risk_drought_ma_30d_ssqrt_above_3_std_lag_30d,0.581,0.693,19,0.88
climate_risk_drought_ma_30d_cos_above_3_std_lag_30d,0.58,0.716,34,1.515
climate_risk_drought_ma_14d_cos_above_3_std_lag_30d,0.579,0.669,18,0.802
climate_risk_drought_ma_90d_sin_above_3_std_lag_30d,0.578,0.726,18,0.875
climate_risk_heat_stress_max_90d_ssqrt_above_3_std_lag_30d,0.577,0.623,18,1.654
climate_risk_drought_ma_60d_thresh_mag_above_3_std_lag_30d,0.577,0.732,20,1.252
climate_risk_heat_stress_ma_30d_log1p_above_3_std_lag_30d,0.573,0.601,3,0.392
climate_risk_heat_stress_ma_30d_sin_above_3_std_lag_30d,0.572,0.6,3,0.375
climate_risk_heat_stress_max_90d_log1p_above_3_std_lag_30d,0.571,0.611,14,1.248
climate_risk_excess_precip_ma_90d_log1p_above_3_std_lag_30d,0.57,0.602,9,0.43
climate_risk_heat_stress_ma_90d_ssqrt_above_3_std_lag_30d,0.569,0.633,6,0.784
climate_risk_heat_stress_ma_90d_cos_above_3_std_lag_30d,0.564,0.658,9,0.49
climate_risk_heat_stress_ma_30d_ssqrt_above_3_std_lag_30d,0.564,0.581,3,0.321
climate_risk_excess_precip_ma_90d_cos_above_3_std_lag_30d,0.563,0.626,21,0.936
climate_risk_excess_precip_ma_90d_ssqrt_above_3_std_lag_30d,0.562,0.623,15,0.668
climate_risk_excess_precip_ma_60d_ssqrt_above_3_std_lag_30d,0.562,0.622,15,0.674
climate_risk_excess_precip_ma_60d_cos_above_3_std_lag_30d,0.562,0.66,24,1.07
climate_risk_coldwave_ma_30d_cos_above_3_std_lag_30d,0.56,0.636,17,0.862
climate_risk_heat_stress_max_90d_thresh_mag_above_3_std_lag_30d,0.558,0.671,22,1.903
climate_risk_coldwave_ma_60d_cos_above_3_std_lag_30d,0.557,0.632,18,0.89
climate_risk_heat_stress_ma_90d_sin_above_3_std_lag_30d,0.554,0.569,3,0.477
climate_risk_heat_stress_ma_90d_log1p_above_3_std_lag_30d,0.554,0.57,3,0.477
climate_risk_drought_ma_60d_sin_above_3_std_lag_30d,0.553,0.673,20,0.956
climate_risk_excess_precip_max_60d_ssqrt_above_3_std_lag_30d,0.553,0.611,8,0.357
climate_risk_excess_precip_ma_90d_sin_above_3_std_lag_30d,0.552,0.582,9,0.43
climate_risk_drought_max_60d_log1p_above_3_std_lag_30d,0.552,0.726,14,0.629
climate_risk_excess_precip_max_90d_log1p_above_3_std_lag_30d,0.551,0.607,13,0.579
climate_risk_excess_precip_max_90d_sin_above_3_std_lag_30d,0.55,0.615,9,0.401
climate_risk_drought_ma_60d_log1p_above_3_std_lag_30d,0.55,0.673,22,1.052
climate_risk_drought_max_60d_ssqrt_above_3_std_lag_30d,0.542,0.542,1,0.045
climate_risk_drought_ma_14d_ssqrt_above_3_std_lag_30d,0.539,0.554,4,0.187
climate_risk_drought_max_90d_log1p_above_3_std_lag_30d,0.536,0.592,4,0.178
climate_risk_drought_ma_30d_log1p_above_3_std_lag_30d,0.532,0.579,11,0.535
climate_risk_unseasonably_cold_ma_90d_cos_above_3_std_lag_30d,0.529,0.547,2,0.102
climate_risk_drought_max_90d_ssqrt_above_3_std_lag_30d,0.526,0.55,2,0.089
climate_risk_drought_ma_30d_thresh_mag_above_3_std_lag_30d,0.526,0.564,9,0.456
climate_risk_drought_ma_14d_thresh_mag_above_3_std_lag_30d,0.525,0.538,2,0.094
climate_risk_drought_ma_30d_sin_above_3_std_lag_30d,0.525,0.562,10,0.482
climate_risk_drought_max_90d_sin_above_3_std_lag_30d,0.524,0.524,1,0.045
climate_risk_unseasonably_cold_ma_60d_cos_above_3_std_lag_30d,0.522,0.522,1,0.053
climate_risk_excess_precip_ma_30d_cos_above_3_std_lag_30d,0.522,0.556,9,0.401
climate_risk_drought_max_30d_log1p_above_3_std_lag_30d,0.521,0.521,1,0.046
climate_risk_drought_ma_14d_sin_above_3_std_lag_30d,0.518,0.518,1,0.048
climate_risk_heat_stress_max_60d_ssqrt_above_3_std_lag_30d,0.518,0.535,5,0.452
climate_risk_unseasonably_cold_ma_30d_cos_above_3_std_lag_30d,0.516,0.516,1,0.056
climate_risk_excess_precip_max_90d_ssqrt_above_3_std_lag_30d,0.513,0.519,4,0.178
climate_risk_heat_stress_max_60d_log1p_above_3_std_lag_30d,0.51,0.514,2,0.181
climate_risk_heat_stress_max_60d_thresh_mag_above_3_std_lag_30d,0.51,0.519,3,0.271
climate_risk_drought_max_14d_ssqrt_above_3_std_lag_30d,0.507,0.513,2,0.093
climate_risk_excess_precip_ma_60d_log1p_above_3_std_lag_30d,0.506,0.506,1,0.048
climate_risk_drought_ma_14d_log1p_above_3_std_lag_30d,0.505,0.505,1,0.05
climate_risk_excess_precip_ma_60d_sin_above_3_std_lag_30d,0.505,0.508,2,0.096
climate_risk_drought_ma_14d_cos_above_3_std_lag_14d,0.595,0.644,16,0.713
climate_risk_drought_ma_30d_cos_above_3_std_lag_14d,0.595,0.689,33,1.471
climate_risk_excess_precip_ma_60d_cos_above_3_std_lag_14d,0.588,0.677,16,0.713
climate_risk_coldwave_ma_30d_cos_above_3_std_lag_14d,0.588,0.675,3,0.153
climate_risk_heat_stress_ma_60d_cos_above_3_std_lag_14d,0.586,0.672,6,0.343
climate_risk_coldwave_ma_14d_cos_above_3_std_lag_14d,0.576,0.576,1,0.057
climate_risk_heat_stress_ma_60d_ssqrt_above_3_std_lag_14d,0.567,0.614,4,0.501
climate_risk_excess_precip_ma_60d_ssqrt_above_3_std_lag_14d,0.567,0.638,16,0.713
climate_risk_heat_stress_ma_60d_sin_above_3_std_lag_14d,0.565,0.632,5,0.735
climate_risk_drought_ma_30d_ssqrt_above_3_std_lag_14d,0.564,0.703,28,1.287
climate_risk_heat_stress_ma_60d_log1p_above_3_std_lag_14d,0.564,0.63,5,0.735
climate_risk_drought_ma_60d_ssqrt_above_3_std_lag_14d,0.562,0.652,34,1.538
climate_risk_drought_ma_60d_log1p_above_3_std_lag_14d,0.562,0.7,20,1.006
climate_risk_drought_ma_14d_sin_above_3_std_lag_14d,0.559,0.559,1,0.049
climate_risk_drought_ma_30d_sin_above_3_std_lag_14d,0.558,0.616,13,0.632
climate_risk_drought_ma_14d_log1p_above_3_std_lag_14d,0.556,0.595,3,0.147
climate_risk_drought_ma_30d_log1p_above_3_std_lag_14d,0.547,0.609,15,0.729
climate_risk_drought_ma_7d_cos_above_3_std_lag_14d,0.545,0.589,12,0.535
climate_risk_drought_ma_60d_thresh_mag_above_3_std_lag_14d,0.544,0.617,18,1.176
climate_risk_excess_precip_max_60d_ssqrt_above_3_std_lag_14d,0.539,0.596,10,0.446
climate_risk_heat_stress_max_60d_ssqrt_above_3_std_lag_14d,0.537,0.569,6,0.569
climate_risk_drought_max_30d_ssqrt_above_3_std_lag_14d,0.536,0.658,16,0.713
climate_risk_unseasonably_cold_ma_14d_cos_above_3_std_lag_14d,0.536,0.536,1,0.058
climate_risk_excess_precip_ma_30d_cos_above_3_std_lag_14d,0.535,0.56,8,0.357
climate_risk_drought_max_30d_sin_above_3_std_lag_14d,0.535,0.659,15,0.668
climate_risk_drought_ma_30d_thresh_mag_above_3_std_lag_14d,0.534,0.581,10,0.507
climate_risk_unseasonably_cold_ma_60d_cos_above_3_std_lag_14d,0.533,0.546,2,0.103
climate_risk_unseasonably_cold_ma_14d_sin_above_3_std_lag_14d,0.529,0.529,1,0.134
climate_risk_heat_stress_max_60d_thresh_mag_above_3_std_lag_14d,0.527,0.554,6,0.569
climate_risk_drought_ma_14d_thresh_mag_above_3_std_lag_14d,0.522,0.541,3,0.14
climate_risk_drought_ma_14d_ssqrt_above_3_std_lag_14d,0.521,0.543,6,0.28
climate_risk_heat_stress_max_60d_log1p_above_3_std_lag_14d,0.521,0.536,4,0.38
climate_risk_excess_precip_ma_60d_log1p_above_3_std_lag_14d,0.52,0.533,2,0.096
climate_risk_excess_precip_ma_60d_sin_above_3_std_lag_14d,0.517,0.531,2,0.096
climate_risk_unseasonably_cold_ma_14d_thresh_mag_above_3_std_lag_14d,0.513,0.513,1,0.134
climate_risk_unseasonably_cold_ma_30d_cos_above_3_std_lag_14d,0.511,0.521,2,0.11
climate_risk_heat_stress_max_30d_thresh_mag_above_3_std_lag_14d,0.506,0.506,1,0.095
climate_risk_heat_stress_max_30d_cos_above_3_std_lag_14d,0.504,0.504,1,0.061
climate_risk_excess_precip_max_240d_above_2_std_lag_14d,0.614,0.776,52,2.317
climate_risk_drought_ma_120d_above_2_std_lag_14d,0.594,0.733,31,1.414
climate_risk_drought_ma_90d_above_2_std_lag_14d,0.588,0.689,27,1.231
climate_risk_drought_weighted_score_country_sum_above_2_std_lag_14d,0.581,0.643,12,0.642
climate_risk_drought_ma_7d_cos_above_2_std_lag_14d,0.562,0.58,12,0.535
climate_risk_heat_stress_score_country_mean_above_2_std_lag_14d,0.562,0.578,2,0.274
climate_risk_drought_ma_240d_above_2_std_lag_14d,0.56,0.674,39,1.738
climate_risk_excess_precip_ma_90d_above_2_std_lag_14d,0.558,0.589,19,0.847
climate_risk_heat_stress_weighted_score_country_sum_above_2_std_lag_14d,0.558,0.574,2,0.245
climate_risk_drought_max_90d_above_2_std_lag_14d,0.557,0.558,2,0.089
climate_risk_drought_score_country_mean_above_2_std_lag_14d,0.554,0.624,27,1.291
climate_risk_unseasonably_cold_ma_120d_above_2_std_lag_14d,0.549,0.587,8,1.046
climate_risk_drought_score_country_max_above_2_std_lag_14d,0.547,0.562,7,0.322
climate_risk_drought_ma_7d_log1p_above_2_std_lag_14d,0.546,0.588,10,0.446
climate_risk_drought_ma_7d_ssqrt_above_2_std_lag_14d,0.54,0.564,10,0.446
climate_risk_drought_ma_7d_sin_above_2_std_lag_14d,0.539,0.574,10,0.446
climate_risk_excess_precip_ma_240d_above_2_std_lag_14d,0.537,0.609,21,0.936
climate_risk_heat_stress_max_240d_above_2_std_lag_14d,0.535,0.598,7,0.364
climate_risk_excess_precip_ma_120d_above_2_std_lag_14d,0.534,0.609,23,1.025
climate_risk_unseasonably_cold_ma_90d_above_2_std_lag_14d,0.532,0.532,1,0.137
climate_risk_excess_precip_weighted_score_country_sum_above_2_std_lag_14d,0.532,0.57,5,0.23
climate_risk_heat_stress_ma_120d_above_2_std_lag_14d,0.531,0.567,4,0.535
climate_risk_drought_max_240d_above_2_std_lag_14d,0.531,0.576,14,0.624
climate_risk_excess_precip_score_country_mean_above_2_std_lag_14d,0.531,0.559,2,0.089
climate_risk_drought_max_7d_sin_above_2_std_lag_14d,0.53,0.539,6,0.267
climate_risk_drought_max_120d_above_2_std_lag_14d,0.523,0.524,2,0.089
climate_risk_excess_precip_max_120d_above_2_std_lag_14d,0.522,0.552,8,0.357
climate_risk_unseasonably_cold_max_120d_above_2_std_lag_14d,0.521,0.542,3,0.182
climate_risk_excess_precip_score_country_max_above_2_std_lag_14d,0.521,0.53,2,0.09
climate_risk_drought_max_7d_cos_above_2_std_lag_14d,0.518,0.543,6,0.267
climate_risk_drought_max_7d_log1p_above_2_std_lag_14d,0.517,0.527,4,0.178
climate_risk_coldwave_max_240d_above_2_std_lag_14d,0.515,0.518,3,0.205
climate_risk_drought_max_7d_ssqrt_above_2_std_lag_14d,0.514,0.526,11,0.49
climate_risk_drought_score_cos_above_2_std_lag_14d,0.512,0.516,5,0.223
climate_risk_unseasonably_cold_max_240d_above_2_std_lag_14d,0.512,0.512,1,0.05
climate_risk_heat_stress_score_country_max_above_2_std_lag_14d,0.511,0.511,1,0.087
climate_risk_drought_ma_7d_thresh_mag_above_2_std_lag_14d,0.51,0.517,6,0.276
climate_risk_unseasonably_cold_max_90d_above_2_std_lag_14d,0.51,0.519,2,0.131
climate_risk_drought_score_country_std_above_2_std_lag_14d,0.504,0.504,1,0.045
climate_risk_excess_precip_score_country_std_above_2_std_lag_14d,0.503,0.503,1,0.045
climate_risk_drought_score_ssqrt_above_2_std_lag_14d,0.501,0.501,1,0.045
climate_risk_coldwave_max_14d_tangent_lag_30d,0.737,0.737,1,0.054
climate_risk_coldwave_ma_14d_cos_lag_30d,0.672,0.672,1,0.054
climate_risk_coldwave_max_7d_thresh_mag_lag_30d,0.659,0.659,1,0.07
climate_risk_coldwave_max_14d_cos_lag_30d,0.642,0.732,2,0.108
climate_risk_coldwave_max_14d_thresh_mag_lag_30d,0.635,0.77,2,0.138
climate_risk_coldwave_max_7d_tangent_lag_30d,0.631,0.631,1,0.054
climate_risk_coldwave_max_7d_cos_lag_30d,0.629,0.629,1,0.054
climate_risk_coldwave_max_30d_thresh_mag_lag_30d,0.623,0.773,15,1.003
climate_risk_heat_stress_ma_30d_cos_lag_30d,0.607,0.641,3,0.18
climate_risk_coldwave_ma_30d_ssqrt_lag_30d,0.606,0.753,11,0.558
climate_risk_drought_max_30d_ssqrt_lag_30d,0.605,0.7,12,0.535
climate_risk_drought_max_30d_log1p_lag_30d,0.601,0.707,13,0.579
climate_risk_heat_stress_ma_60d_tangent_lag_30d,0.6,0.728,9,0.509
climate_risk_heat_stress_ma_60d_sin_lag_30d,0.6,0.726,9,0.509
climate_risk_drought_ma_30d_ssqrt_lag_30d,0.599,0.776,37,1.649
climate_risk_drought_max_14d_cos_lag_30d,0.598,0.715,17,0.758
climate_risk_drought_ma_30d_sin_lag_30d,0.597,0.78,41,1.827
climate_risk_drought_ma_30d_log1p_lag_30d,0.596,0.78,41,1.827
climate_risk_drought_ma_14d_tangent_lag_30d,0.595,0.678,11,0.49
climate_risk_coldwave_max_30d_ssqrt_lag_30d,0.595,0.735,14,0.71
climate_risk_drought_max_30d_thresh_mag_lag_30d,0.593,0.663,12,0.539
climate_risk_drought_ma_30d_tangent_lag_30d,0.592,0.739,28,1.248
climate_risk_coldwave_ma_7d_cos_lag_30d,0.59,0.59,1,0.054
climate_risk_heat_stress_ma_60d_cos_lag_30d,0.589,0.709,8,0.452
climate_risk_heat_stress_ma_60d_log1p_lag_30d,0.589,0.723,10,0.566
climate_risk_coldwave_ma_30d_log1p_lag_30d,0.588,0.718,13,0.659
climate_risk_drought_max_14d_thresh_mag_lag_30d,0.587,0.651,13,0.584
climate_risk_coldwave_ma_14d_log1p_lag_30d,0.585,0.624,2,0.108
climate_risk_coldwave_ma_14d_sin_lag_30d,0.584,0.627,2,0.108
climate_risk_drought_max_14d_log1p_lag_30d,0.583,0.675,20,0.891
climate_risk_drought_ma_30d_cos_lag_30d,0.582,0.741,47,2.094
climate_risk_coldwave_ma_30d_sin_lag_30d,0.582,0.716,14,0.71
climate_risk_drought_max_30d_cos_lag_30d,0.581,0.697,22,0.98
climate_risk_drought_ma_14d_log1p_lag_30d,0.579,0.644,23,1.025
climate_risk_coldwave_max_30d_log1p_lag_30d,0.579,0.722,18,0.913
climate_risk_drought_max_14d_ssqrt_lag_30d,0.578,0.664,20,0.891
climate_risk_drought_ma_14d_ssqrt_lag_30d,0.578,0.643,22,0.98
climate_risk_coldwave_ma_30d_tangent_lag_30d,0.578,0.716,15,0.761
climate_risk_drought_ma_14d_sin_lag_30d,0.578,0.666,24,1.07
climate_risk_heat_stress_ma_30d_tangent_lag_30d,0.577,0.654,6,0.36
climate_risk_coldwave_max_14d_sin_lag_30d,0.577,0.648,4,0.216
climate_risk_drought_ma_14d_cos_lag_30d,0.577,0.68,18,0.802
climate_risk_drought_max_30d_sin_lag_30d,0.575,0.711,12,0.535
climate_risk_coldwave_ma_14d_tangent_lag_30d,0.572,0.628,2,0.108
climate_risk_heat_stress_ma_30d_sin_lag_30d,0.572,0.652,7,0.42
climate_risk_coldwave_max_30d_cos_lag_30d,0.571,0.684,21,1.065
climate_risk_heat_stress_ma_30d_log1p_lag_30d,0.571,0.648,7,0.42
climate_risk_coldwave_max_30d_sin_lag_30d,0.568,0.721,21,1.065
climate_risk_heat_stress_ma_60d_ssqrt_lag_30d,0.567,0.675,11,0.622
climate_risk_unseasonably_cold_ma_14d_ssqrt_lag_30d,0.567,0.591,2,0.116
climate_risk_coldwave_max_30d_tangent_lag_30d,0.565,0.678,18,0.913
climate_risk_drought_max_30d_tangent_lag_30d,0.565,0.609,6,0.267
climate_risk_drought_max_14d_sin_lag_30d,0.565,0.698,17,0.758
climate_risk_coldwave_ma_7d_tangent_lag_30d,0.564,0.564,1,0.054
climate_risk_drought_max_7d_cos_lag_30d,0.563,0.58,7,0.312
climate_risk_coldwave_ma_7d_sin_lag_30d,0.562,0.562,1,0.054
climate_risk_coldwave_ma_30d_cos_lag_30d,0.56,0.636,17,0.862
climate_risk_unseasonably_cold_max_14d_sin_lag_30d,0.56,0.571,2,0.116
climate_risk_coldwave_max_14d_log1p_lag_30d,0.559,0.652,4,0.216
climate_risk_coldwave_ma_7d_log1p_lag_30d,0.558,0.558,1,0.054
climate_risk_coldwave_max_14d_ssqrt_lag_30d,0.556,0.614,4,0.216
climate_risk_coldwave_max_7d_log1p_lag_30d,0.554,0.585,2,0.108
climate_risk_unseasonably_cold_ma_14d_tangent_lag_30d,0.553,0.553,1,0.058
climate_risk_unseasonably_cold_ma_14d_log1p_lag_30d,0.552,0.59,2,0.116
climate_risk_coldwave_ma_14d_ssqrt_lag_30d,0.552,0.582,3,0.162
climate_risk_coldwave_max_7d_sin_lag_30d,0.551,0.581,2,0.108
climate_risk_excess_precip_ma_30d_ssqrt_lag_30d,0.549,0.654,29,1.292
climate_risk_unseasonably_cold_max_30d_ssqrt_lag_30d,0.548,0.577,2,0.112
climate_risk_drought_max_14d_tangent_lag_30d,0.546,0.546,1,0.045
climate_risk_heat_stress_ma_30d_ssqrt_lag_30d,0.546,0.604,8,0.48
climate_risk_unseasonably_cold_ma_14d_sin_lag_30d,0.545,0.584,2,0.116
climate_risk_excess_precip_ma_30d_sin_lag_30d,0.545,0.634,27,1.203
climate_risk_heat_stress_max_14d_cos_lag_30d,0.544,0.557,6,0.375
climate_risk_excess_precip_ma_30d_log1p_lag_30d,0.543,0.634,31,1.381
climate_risk_drought_ma_7d_cos_lag_30d,0.542,0.578,9,0.401
climate_risk_coldwave_max_7d_ssqrt_lag_30d,0.54,0.572,2,0.108
climate_risk_unseasonably_cold_ma_30d_sin_lag_30d,0.54,0.54,1,0.056
climate_risk_unseasonably_cold_ma_30d_log1p_lag_30d,0.539,0.539,1,0.056
climate_risk_excess_precip_ma_30d_tangent_lag_30d,0.538,0.593,20,0.891
climate_risk_unseasonably_cold_max_14d_ssqrt_lag_30d,0.537,0.554,3,0.175
climate_risk_unseasonably_cold_ma_30d_tangent_lag_30d,0.536,0.536,1,0.056
climate_risk_unseasonably_cold_max_14d_cos_lag_30d,0.536,0.536,1,0.058
climate_risk_unseasonably_cold_max_30d_thresh_mag_lag_30d,0.535,0.569,2,0.137
