climate_variable,avg_sig_corr,max_sig_corr,sig_corr_count,sig_corr_ratio(%)
climate_risk_heat_stress_ma_240d_ssqrt_above_1_std,0.55,0.653,9,0.469
climate_risk_drought_max_240d_cos_above_1_std,0.549,0.619,36,1.795
climate_risk_heat_stress_score_country_mean_thresh_mag_above_1_std,0.546,0.571,7,2.422
climate_risk_excess_precip_max_240d_cos_above_1_std,0.545,0.612,36,1.604
climate_risk_unseasonably_cold_max_240d_thresh_mag_above_1_std,0.543,0.569,4,0.203
climate_risk_heat_stress_max_240d_ssqrt_above_1_std,0.54,0.54,1,0.05
climate_risk_excess_precip_ma_240d_tangent_above_1_std,0.54,0.604,36,1.604
climate_risk_coldwave_max_120d_ssqrt_above_1_std,0.538,0.582,5,0.247
climate_risk_coldwave_max_240d_log1p_above_1_std,0.538,0.562,2,0.092
climate_risk_drought_max_240d_sin_above_1_std,0.535,0.535,1,0.045
climate_risk_coldwave_max_240d_ssqrt_above_1_std,0.534,0.582,6,0.276
climate_risk_drought_max_240d_log1p_above_1_std,0.534,0.613,30,1.337
climate_risk_excess_precip_max_240d_sin_above_1_std,0.533,0.576,16,0.713
climate_risk_unseasonably_cold_max_240d_ssqrt_above_1_std,0.533,0.579,6,0.297
climate_risk_drought_max_240d_ssqrt_above_1_std,0.532,0.611,30,1.337
climate_risk_coldwave_max_120d_sin_above_1_std,0.532,0.569,5,0.247
climate_risk_unseasonably_cold_max_240d_log1p_above_1_std,0.532,0.58,6,0.299
climate_risk_coldwave_max_240d_sin_above_1_std,0.529,0.547,4,0.184
climate_risk_heat_stress_max_240d_thresh_mag_above_1_std,0.528,0.592,9,0.456
climate_risk_coldwave_max_240d_cos_above_1_std,0.527,0.527,2,0.109
climate_risk_drought_max_240d_thresh_mag_above_1_std,0.527,0.559,13,0.579
climate_risk_heat_stress_max_240d_log1p_above_1_std,0.524,0.536,2,0.1
climate_risk_heat_stress_score_country_mean_cos_above_1_std,0.522,0.532,8,0.574
climate_risk_excess_precip_score_country_mean_log1p_above_1_std,0.52,0.567,13,0.579
climate_risk_excess_precip_score_country_mean_ssqrt_above_1_std,0.519,0.6,10,0.446
climate_risk_heat_stress_max_240d_cos_above_1_std,0.516,0.516,1,0.046
climate_risk_heat_stress_score_country_mean_log1p_above_1_std,0.516,0.516,1,0.098
climate_risk_coldwave_ma_120d_cos_above_1_std,0.515,0.529,6,0.289
climate_risk_coldwave_ma_240d_cos_above_1_std,0.513,0.518,3,0.137
climate_risk_unseasonably_cold_score_country_max_sin_above_1_std,0.509,0.509,1,0.072
climate_risk_unseasonably_cold_score_country_max_cos_above_1_std,0.508,0.508,1,0.065
climate_risk_unseasonably_cold_score_country_mean_cos_above_1_std,0.506,0.51,2,0.129
climate_risk_heat_stress_score_country_mean_ssqrt_above_1_std,0.505,0.505,1,0.078
climate_risk_unseasonably_cold_max_240d_cos_above_1_std,0.505,0.505,1,0.065
climate_risk_unseasonably_cold_score_country_std_cos_above_1_std,0.505,0.505,1,0.065
climate_risk_coldwave_max_14d_above_1_std_lag_30d,0.626,0.694,2,0.125
climate_risk_coldwave_max_90d_above_1_std_lag_30d,0.618,0.737,21,1.093
climate_risk_excess_precip_max_240d_above_1_std_lag_30d,0.614,0.791,45,2.005
climate_risk_drought_ma_60d_above_1_std_lag_30d,0.6,0.753,54,2.406
climate_risk_drought_max_30d_above_1_std_lag_30d,0.599,0.7,11,0.49
climate_risk_drought_ma_90d_above_1_std_lag_30d,0.598,0.753,53,2.362
climate_risk_drought_ma_30d_above_1_std_lag_30d,0.597,0.751,37,1.649
climate_risk_heat_stress_ma_60d_above_1_std_lag_30d,0.593,0.712,8,0.735
climate_risk_coldwave_max_60d_above_1_std_lag_30d,0.59,0.716,34,1.869
climate_risk_drought_ma_240d_above_1_std_lag_30d,0.581,0.74,48,2.139
climate_risk_heat_stress_ma_90d_above_1_std_lag_30d,0.58,0.685,9,0.767
